timestamps,STATE,CAN2.gnss_pos.Latitude,CAN2.gnss_pos.Longitude,x_coord,y_coord,CAN1.TSC1.EngnRqstdTrqTrqLmt,CAN1.IC1.EngineIntakeManifold1Pressure,CAN1.EEC1.EngineSpeed,CAN1.IC1.EngnIntkMnfld1Tmprtr,CAN1.FD1.FanSpeed,CAN1.VEP1.BatteryPotentialPowerInput1,CAN2.TSC1.EngnRqstdTrqTrqLmt_3,CAN1.EEC3.EnginesDesiredOperatingSpeed,CAN2.TSC1.EngnRqstdTrqTrqLmt_0,CAN1.EEC3.Aftrtrtmnt1ExhstGsMssFlwRt,CAN1.EFLP1.EngineOilPressure1,CAN1.VEP1.KeySwitchBatteryPotential,CAN1.IC1.EngineIntakeAirPressure,CAN1.EEC1.EngineDemandPercentTorque,CAN1.EEC1.ActualEnginePercentTorque,CAN1.EEC2.EnginePercentLoadAtCurrentSpeed,CAN1.EEC3.NominalFrictionPercentTorque,CAN1.EEC1.AtlEngnPrntTrqFrtnl,CAN1.LFE1.EngineInstantaneousFuelEconomy,CAN1.CCVS1.WheelBasedVehicleSpeed,CAN2.gnss_speed.Speed,CAN1.EEC2.AtlMxmmAvllEngnPrntTrq,CAN1.A1SCRDSI1.Atttt1DsExstFdAtDsQtt,CAN1.LFE1.EngineFuelRate,CAN1.FD1.EngineFan1EstimatedPercentSpeed,CAN2.gnss_attitude.Heading,class_label,anomaly_label
2023-10-23 06:51:02,I,45.350952,11.951405,3985688.4901854135,13887961.530154197,39.91539665,98.14537728,0.0,61.36344319,0.0,12.92544121,59.0,1000.0,-68.0,0.0,96.2907525,12.92544121,98.14537728,0.0,0.0,0,6.0,0.0,125.4980469,0.0,0.002572597,0.0,0.0,0.0,0.0,279.2,I,0
2023-10-23 06:51:03,I,45.350952,11.9514053,3985688.468130376,13887961.545888532,39.90603348,98.14582218,0.0,61.36455545,0.0,12.92551906,59.0,1000.0,-68.0,0.0,96.29164231,12.92551906,98.14582218,0.0,0.0,0,6.0,0.0,125.4980469,0.0,0.004296698,0.0,0.0,0.0,0.0,279.2,I,0
2023-10-23 06:51:04,I,45.350952,11.951406,3985688.41666862,13887961.582601976,39.89667031,98.14626709,0.0,61.36566771,0.0,12.92559692,59.0,1000.0,-68.0,0.0,96.29253212,12.92559692,98.14626709,0.0,0.0,0,6.0,0.0,125.4980469,0.0,0.004113827,0.0,0.0,0.0,0.0,279.2,I,0
2023-10-23 06:51:05,I,45.35095226,11.95140626,3985688.378214595,13887961.569129718,39.88730715,98.14671199,0.0,61.36677998,0.0,12.92567478,59.0,1000.0,-68.0,0.0,96.29342194,12.92567478,98.14671199,0.0,0.0,0,6.0,0.0,125.4980469,0.0,0.002798506,0.0,0.0,0.0,0.0,279.2,I,0
2023-10-23 06:51:06,I,45.350953,11.951407,3985688.268768523,13887961.530785613,39.87794398,98.1471569,0.0,61.36789224,0.0,12.92575264,59.0,1000.0,-68.0,0.0,96.29431175,12.92575264,98.1471569,0.0,0.0,0,6.0,0.0,125.4980469,0.0,0.004481243,0.0,0.0,0.0,0.0,279.2,I,0
2023-10-23 06:51:07,I,45.350953,11.95140728,3985688.248183824,13887961.545470988,39.86858081,98.1476018,0.0,61.3690045,0.0,12.9258305,59.0,1000.0,-68.0,0.0,96.29520156,12.9258305,98.1476018,0.0,0.0,0,6.0,0.0,125.4980469,0.0,0.003276907,0.0,0.0,0.0,0.0,279.2,I,0
2023-10-23 06:51:08,I,45.350953,11.951408,3985688.1952517335,13887961.583233384,39.85921764,98.14804671,0.0,61.37011677,0.0,12.92590836,59.0,1000.0,-68.0,0.0,96.29609137,12.92590836,98.14804671,0.0,0.0,0,6.0,0.0,125.4980469,0.0,0.004,0.0,0.0,0.0,0.0,279.2,I,0
2023-10-23 06:51:09,I,45.35095329,11.95140829,3985688.152360707,13887961.56820664,39.84985448,35.72165351680624,0.0,61.37122903,0.0,12.92598622,59.0,1000.0,-68.0,0.0,96.29698118,12.92598622,16.421238423497392,7.629397467611222,0.0,0,6.0,0.0,125.4980469,0.0,0.004872719,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:10,I,45.350954,11.951409,3985688.047351642,13887961.53141702,39.84049131,84.43535924206674,0.0,61.37234129,0.0,12.92606407,59.0,1000.0,-68.0,0.0,96.29787099,12.92606407,52.45029689612355,4.499835485124864,0.0,0,6.0,0.0,125.4980469,0.0,0.006704321,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:11,I,45.350954,11.9514093,3985688.025296607,13887961.547151348,39.83112814,53.76785058159153,0.0,61.37345356,0.0,12.92614193,59.0,1000.0,-68.0,0.0,96.2987608,12.92614193,21.200045838691505,4.27612739416018,0.0,0,6.0,0.0,125.4980469,0.0,0.004811334,0.0,0.0,0.0,0.0,279.2,I,1
